# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1727728074123000000,1727728134923000000,8
workspaceModel.cachedValue.from.cache.count,1727728074123000000,1727728134923000000,55
workspaceModel.replace.project.model.ms,1727728074123000000,1727728134923000000,0
workspaceModel.cachedValue.calculated.count,1727728074123000000,1727728134923000000,14
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1727728074123000000,1727728134923000000,27
workspaceModel.init.bridges.ms,1727728074123000000,1727728134923000000,32
workspaceModel.cachedValueWithParameters.total.get.count,1727728074123000000,1727728134923000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1727728074123000000,1727728134923000000,0
workspaceModel.workspaceFileIndexData.init.ms,1727728074123000000,1727728134923000000,21
JVM.threadCount,1727728074123000000,1727728134923000000,75
JVM.usedHeapBytes,1727728074123000000,1727728134923000000,198769040
JVM.totalSafepointCount,1727728074123000000,1727728134923000000,142
JVM.totalTimeAtSafepointsMs,1727728074123000000,1727728134923000000,544
JVM.GC.collectionTimesMs,1727728074123000000,1727728134923000000,463
JVM.totalBytesAllocated,1727728074123000000,1727728134923000000,912441400
JVM.totalTimeToSafepointsMs,1727728074123000000,1727728134923000000,597
JVM.totalCpuTimeMs,1727728074123000000,1727728134923000000,79480
JVM.maxHeapBytes,1727728074123000000,1727728134923000000,5779750912
JVM.GC.collections,1727728074123000000,1727728134923000000,28
JVM.newThreadsCount,1727728074123000000,1727728134923000000,114
JVM.usedNativeBytes,1727728074123000000,1727728134923000000,226994864
JVM.totalDirectByteBuffersBytes,1727728074123000000,1727728134923000000,205594697
OS.loadAverage,1727728074123000000,1727728134923000000,4.95
JVM.maxThreadCount,1727728074123000000,1727728134923000000,77
writeAction.median.wait.ms,1727728074123000000,1727728134923000000,300
writeAction.max.wait.ms,1727728074123000000,1727728134923000000,316
writeAction.count,1727728074123000000,1727728134923000000,13
writeAction.wait.ms,1727728074123000000,1727728134923000000,365
FileNameCache.queries,1727728074123000000,1727728134923000000,1125952
VFS.fileChildByName,1727728074123000000,1727728134923000000,1543
VFS.contentStorage.recordsRead,1727728074123000000,1727728134923000000,5
VFS.contentStorage.recordsDecompressionTimeUs,1727728074123000000,1727728134923000000,875
VFS.contentStorage.recordsStored,1727728074123000000,1727728134923000000,5
VFS.invertedFileNameIndex.requests,1727728074123000000,1727728134923000000,1
VFS.fileByIdCache.hits,1727728074123000000,1727728134923000000,0
VFS.fileByIdCache.misses,1727728074123000000,1727728134923000000,0
VFS.contentStorage.recordsUncompressedSize,1727728074123000000,1727728134923000000,45365
VFS.contentStorage.recordsStoredSize,1727728074123000000,1727728134923000000,18554
FileNameCache.totalMisses,1727728074123000000,1727728134923000000,128
VFS.contentStorage.recordsReadSize,1727728074123000000,1727728134923000000,21757
VFS.contentStorage.recordsReadDecompressed,1727728074123000000,1727728134923000000,1
VFS.contentStorage.recordsDeduplicated,1727728074123000000,1727728134923000000,3
VFS.contentStorage.recordsStoredCompressed,1727728074123000000,1727728134923000000,2
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.commit.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1727728074123000000,1727728134923000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1727728074123000000,1727728134923000000,0
cacheStateStorage.set.counter,1727728074123000000,1727728134923000000,4
cacheStateStorage.set.duration,1727728074123000000,1727728134923000000,129
cacheStateStorage.get.counter,1727728074123000000,1727728134923000000,17
cacheStateStorage.get.duration,1727728074123000000,1727728134923000000,0
workspaceModel.global.updates.count,1727728194182000000,1727728254155000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1727728194182000000,1727728254155000000,0
jps.global.get.library.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleBridge.update.option.ms,1727728194182000000,1727728254155000000,0
jps.module.iml.entities.serializer.load.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1727728194182000000,1727728254155000000,0
workspaceModel.orphan.listener.update.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1727728194182000000,1727728254155000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1727728194182000000,1727728254155000000,0
jps.global.initialize.library.bridges.ms,1727728194182000000,1727728254155000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1727728194182000000,1727728254155000000,0
workspaceModel.global.apply.state.to.project.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1727728194182000000,1727728254155000000,0
jps.save.changed.project.entities.ms,1727728194182000000,1727728254155000000,0
jps.project.serializers.load.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1727728194182000000,1727728254155000000,0
jps.global.get.libraries.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.entities.ms,1727728194182000000,1727728254155000000,0
jps.modifiable.module.model.bridge.load.module.ms,1727728194182000000,1727728254155000000,0
jps.load.project.to.empty.storage.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1727728194182000000,1727728254155000000,0
jps.modifiable.module.model.bridge.new.module.ms,1727728194182000000,1727728254155000000,0
jps.artifact.entities.serializer.load.entities.ms,1727728194182000000,1727728254155000000,0
jps.module.iml.entities.serializer.save.entities.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1727728194182000000,1727728254155000000,0
workspaceModel.do.save.caches.ms,1727728194182000000,1727728254155000000,0
